,NAME,ID,NAME_TYPE,CLASS,MASS [kg],FALL,YEAR,LAT,LONG,COORDINATE,COUNTRY,CONTINENT
2,Abee,6,Valid,EH4,107.0,Fell,1952,54.2167,-113.0,"(54.21667, -113.0)",Canada,North America
5,Adhi Kot,379,Valid,EH4,4.24,Fell,1919,32.1,71.8,"(32.1, 71.8)",Pakistan,Asia
11,Aïr,424,Valid,L6,24.0,Fell,1925,19.0833,8.38333,"(19.08333, 8.38333)",Niger,Africa
15,Akwanga,432,Valid,H,3.0,Fell,1959,8.91667,8.43333,"(8.91667, 8.43333)",Nigeria,Africa
16,Akyumak,433,Valid,"Iron, IVA",50.0,Fell,1981,39.9167,42.8167,"(39.91667, 42.81667)",Turkey,Asia
29,Allende,2278,Valid,CV3,2000.0,Fell,1969,26.9667,-105.317,"(26.96667, -105.31667)",Mexico,North America
30,Almahata Sitta,48915,Valid,Ureilite-an,3.95,Fell,2008,20.7458,32.4128,"(20.74575, 32.41275)",Sudan,Africa
31,Alta'ameem,2284,Valid,LL5,6.0,Fell,1977,35.2733,44.2156,"(35.27333, 44.21556)",Iraq,Asia
36,Andura,2298,Valid,H6,17.9,Fell,1939,20.8833,76.8667,"(20.88333, 76.86667)",India,Asia
40,Ankober,2304,Valid,H4,6.5,Fell,1942,9.53333,39.7167,"(9.53333, 39.71667)",Ethiopia,Africa
41,Anlong,2305,Valid,H5,2.5,Fell,1971,25.15,105.183,"(25.15, 105.18333)",China,Asia
43,Appley Bridge,2318,Valid,LL6,15.0,Fell,1914,53.5833,-2.71667,"(53.58333, -2.71667)",United Kingdom,Europe
46,Archie,2329,Valid,H6,5.07,Fell,1932,38.5,-94.3,"(38.5, -94.3)",United States,North America
47,Arroyo Aguiar,2340,Valid,H5,7.45,Fell,1950,-31.4167,-60.6667,"(-31.41667, -60.66667)",Argentina,South America
49,Ash Creek,48954,Valid,L6,9.5,Fell,2009,31.805,-97.01,"(31.805, -97.01)",United States,North America
60,Avanhandava,4905,Valid,H4,9.33,Fell,1952,-21.4603,-49.9508,"(-21.46028, -49.95083)",Brazil,South America
64,Aztec,4913,Valid,L6,2.83,Fell,1938,36.8,-108.0,"(36.8, -108.0)",United States,North America
66,Bahjoi,4922,Valid,"Iron, IAB-sLL",10.32,Fell,1934,28.4833,78.5,"(28.48333, 78.5)",India,Asia
67,Bald Mountain,4925,Valid,L4,3.7,Fell,1929,35.9667,-82.4833,"(35.96667, -82.48333)",United States,North America
70,Ban Rong Du,4934,Valid,"Iron, ungrouped",16.7,Fell,1993,16.6667,101.183,"(16.66667, 101.18333)",Thailand,Asia
80,Baroti,4949,Valid,L6,4.5,Fell,1910,31.6167,76.8,"(31.61667, 76.8)",India,Asia
81,Barwell,4954,Valid,L5,44.0,Fell,1965,52.5653,-1.33972,"(52.56528, -1.33972)",United Kingdom,Europe
82,Bassikounou,44876,Valid,H5,29.56,Fell,2006,15.7833,-5.9,"(15.78333, -5.9)",Mauritania,Africa
83,Baszkówka,4957,Valid,L5,15.5,Fell,1994,52.0333,20.9358,"(52.03333, 20.93583)",Poland,Europe
85,Bath Furnace,4975,Valid,L6,86.0,Fell,1902,38.25,-83.75,"(38.25, -83.75)",United States,North America
86,Battle Mountain,56133,Valid,L6,2.9,Fell,2012,40.6681,-117.189,"(40.66813, -117.18913)",United States,North America
89,Beardsley,4984,Valid,H5,16.0,Fell,1929,39.8,-101.2,"(39.8, -101.2)",United States,North America
95,Benguerir,30443,Valid,LL6,25.0,Fell,2004,32.25,-8.15,"(32.25, -8.15)",Morocco,Africa
96,Beni M'hira,5018,Valid,L6,19.0,Fell,2001,32.8667,10.8,"(32.86667, 10.8)",Tunisia,Africa
98,Benoni,5023,Valid,H6,3.88,Fell,1943,-26.1667,28.4167,"(-26.16667, 28.41667)",South Africa,Africa
99,Bensour,5024,Valid,LL6,45.0,Fell,2002,30.0,-7.0,"(30.0, -7.0)",Morocco,Africa
100,Benton,5026,Valid,LL6,2.84,Fell,1949,45.95,-67.55,"(45.95, -67.55)",Canada,North America
102,Béréba,5028,Valid,Eucrite-mmict,18.0,Fell,1924,11.65,-3.65,"(11.65, -3.65)",Burkina Faso,Africa
112,Bholghati,5041,Valid,Howardite,2.5,Fell,1905,22.0833,86.9,"(22.08333, 86.9)",India,Asia
115,Bilanga,5045,Valid,Diogenite,25.0,Fell,1999,12.45,-0.08333,"(12.45, -0.08333)",Burkina Faso,Africa
123,Blackwell,5068,Valid,L5,2.38,Fell,1906,36.8333,-97.3333,"(36.83333, -97.33333)",United States,North America
124,Blanket,5071,Valid,L6,5.1,Fell,1909,31.8333,-98.8333,"(31.83333, -98.83333)",United States,North America
127,Bo Xian,5090,Valid,LL3.9,7.5,Fell,1977,33.8333,115.833,"(33.83333, 115.83333)",China,Asia
129,Bogou,5097,Valid,"Iron, IAB-MG",8.8,Fell,1962,12.5,0.7,"(12.5, 0.7)",Burkina Faso,Africa
130,Boguslavka,5098,Valid,"Iron, IIAB",256.0,Fell,1916,44.55,131.633,"(44.55, 131.63333)",Russia,Europe
138,Boumdeid (2011),57167,Valid,L6,3.6,Fell,2011,17.1749,-11.3413,"(17.17493, -11.34133)",Mauritania,Africa
139,Bovedy,5121,Valid,L3,5.46,Fell,1969,54.5667,-6.33333,"(54.56667, -6.33333)",United Kingdom,Europe
145,Bruderheim,5156,Valid,L6,303.0,Fell,1960,53.9,-112.883,"(53.9, -112.88333)",Canada,North America
146,Bukhara,30448,Valid,CV3,5.3,Fell,2001,39.7798,64.6003,"(39.77978, 64.60035)",Uzbekistan,Asia
149,Bur-Gheluai,5169,Valid,H5,120.0,Fell,1919,5.0,48.0,"(5.0, 48.0)",Somalia,Africa
151,Bursa,5177,Valid,L6,25.0,Fell,1946,40.2,29.2333,"(40.2, 29.23333)",Turkey,Asia
155,Buzzard Coulee,48654,Valid,H4,41.0,Fell,2008,52.996,-109.848,"(52.996, -109.84817)",Canada,North America
160,Calivo,5200,Valid,Stone-uncl,2.4,Fell,1916,11.75,122.333,"(11.75, 122.33333)",Philippines,Asia
161,Campos Sales,5249,Valid,L5,23.68,Fell,1991,-7.03333,-40.1667,"(-7.03333, -40.16667)",Brazil,South America
162,Çanakkale,5250,Valid,L6,4.0,Fell,1964,39.8,26.6,"(39.8, 26.6)",Turkey,Asia
178,Chadong,5313,Valid,L6,3.7,Fell,1998,28.5333,109.317,"(28.53333, 109.31667)",China,Asia
180,Chainpur,5315,Valid,LL3.4,8.2,Fell,1907,25.85,83.4833,"(25.85, 83.48333)",India,Asia
181,Chajari,5316,Valid,L5,18.3,Fell,1933,-30.7833,-58.05,"(-30.78333, -58.05)",Argentina,South America
191,Chaves,5334,Valid,Howardite,2.94,Fell,1925,41.9333,-7.46667,"(41.93333, -7.46667)",Spain,Europe
192,Chela,5338,Valid,H4,2.94,Fell,1988,-3.66667,32.5,"(-3.66667, 32.5)",Tanzania,Africa
193,Chelyabinsk,57165,Valid,LL5,100.0,Fell,2013,54.8167,61.1167,"(54.81667, 61.11667)",Russia,Europe
194,Chergach ,47347,Valid,H5,100.0,Fell,2007,23.6964,-5.01472,"(23.69639, -5.01472)",Mali,Africa
195,Chernyi Bor,5339,Valid,H4,6.0,Fell,1964,53.7,30.1,"(53.7, 30.1)",Belarus,Europe
196,Cherokee Springs,5340,Valid,LL6,8.4,Fell,1933,35.0333,-81.8833,"(35.03333, -81.88333)",United States,North America
202,Chisenga,5355,Valid,"Iron, IIIAB",3.92,Fell,1988,-10.0594,33.395,"(-10.05944, 33.395)",Malawi,Africa
204,Chitenay,5357,Valid,L6,4.0,Fell,1978,47.4708,0.97667,"(47.47083, 0.97667)",France,Europe
207,Colby (Wisconsin),5395,Valid,L6,104.0,Fell,1917,44.9,-90.2833,"(44.9, -90.28333)",United States,North America
211,Conquista,5418,Valid,H4,20.35,Fell,1965,-19.85,-47.55,"(-19.85, -47.55)",Brazil,South America
217,Crumlin,5477,Valid,L5,4.26,Fell,1902,54.6167,-6.21667,"(54.61667, -6.21667)",United Kingdom,Europe
218,Cumberland Falls,5496,Valid,Aubrite,17.0,Fell,1919,36.8333,-84.35,"(36.83333, -84.35)",United States,North America
220,Dahmani,5504,Valid,LL6,18.0,Fell,1981,35.6167,8.83333,"(35.61667, 8.83333)",Tunisia,Africa
225,Dashoguz,6604,Valid,H5,7.0,Fell,1998,41.9844,59.685,"(41.98444, 59.685)",Turkmenistan,Asia
226,Daule,51559,Valid,L5,6.58,Fell,2008,-1.87089,-79.9576,"(-1.87089, -79.95756)",Ecuador,South America
230,Demina,6649,Valid,L6,16.4,Fell,1911,51.4667,84.7667,"(51.46667, 84.76667)",Russia,Europe
232,Dergaon,6664,Valid,H5,12.5,Fell,2001,26.6833,93.8667,"(26.68333, 93.86667)",India,Asia
233,Desuri,6693,Valid,H6,25.4,Fell,1962,25.7333,73.6167,"(25.73333, 73.61667)",India,Asia
234,Devgaon,6694,Valid,H3.8,12.0,Fell,2001,19.0,81.0,"(19.0, 81.0)",India,Asia
236,Dhajala,6698,Valid,H3.8,45.0,Fell,1976,22.3778,71.4272,"(22.37778, 71.42722)",India,Asia
239,Didim,47350,Valid,H3-5,3.4,Fell,2007,37.3517,27.33,"(37.35172, 27.32997)",Turkey,Asia
243,Djermaia,7656,Valid,H,3.95,Fell,1961,12.7333,15.05,"(12.73333, 15.05)",Chad,Africa
244,Djoumine,7657,Valid,H5-6,10.0,Fell,1999,36.95,9.55,"(36.95, 9.55)",Tunisia,Africa
245,Dokachi,7658,Valid,H5,3.84,Fell,1903,23.5,90.3333,"(23.5, 90.33333)",Bangladesh,Asia
248,Dong Ujimqin Qi,7706,Valid,Mesosiderite,128.8,Fell,1995,45.5,119.033,"(45.5, 119.03333)",China,Asia
250,Dongtai,7708,Valid,LL6,5.5,Fell,1970,32.9167,120.783,"(32.91667, 120.78333)",China,Asia
256,Dresden (Ontario),7731,Valid,H6,47.7,Fell,1939,42.52,-82.26,"(42.52, -82.26)",Canada,North America
263,Duwun,7754,Valid,L6,2.12,Fell,1943,33.4333,127.267,"(33.43333, 127.26667)",Antarctica,Antarctica
264,Dwaleni,7755,Valid,H4-6,3.23,Fell,1970,-27.2,31.3167,"(-27.2, 31.31667)",Eswatini,Africa
267,Eagle,7760,Valid,EL6,10.0,Fell,1947,40.7817,-96.4717,"(40.78167, -96.47167)",United States,North America
268,Ehole,7774,Valid,H5,2.4,Fell,1961,-17.3,15.8333,"(-17.3, 15.83333)",Angola,Africa
270,Ekeby,7776,Valid,H4,3.34,Fell,1939,56.0333,13.0,"(56.03333, 13.0)",Sweden,Europe
272,El Idrissia,7807,Valid,L6,10.0,Fell,1989,34.4167,3.25,"(34.41667, 3.25)",Algeria,Africa
273,El Paso de Aguila,45977,Valid,H5,17.23,Fell,1977,25.37,-97.37,"(25.37, -97.37)",Mexico,North America
274,El Tigre,7819,Valid,L6,5.0,Fell,1993,19.9672,-103.052,"(19.96722, -103.05167)",Mexico,North America
277,Elenovka,7824,Valid,L5,54.64,Fell,1951,47.8333,37.6667,"(47.83333, 37.66667)",Ukraine,Europe
280,Enshi,10038,Valid,H5,8.0,Fell,1974,30.3,109.5,"(30.3, 109.5)",China,Asia
291,Farmville,10075,Valid,H4,56.0,Fell,1934,35.55,-77.5333,"(35.55, -77.53333)",United States,North America
293,Fayetteville,10079,Valid,H4,2.36,Fell,1934,36.05,-94.1667,"(36.05, -94.16667)",United States,North America
298,Fermo,10091,Valid,H3-5,10.2,Fell,1996,43.1811,13.7533,"(43.18111, 13.75333)",Italy,Europe
300,Florence,10111,Valid,H3,3.64,Fell,1922,30.8333,-97.7667,"(30.83333, -97.76667)",United States,North America
302,Forest Vale,10120,Valid,H4,26.0,Fell,1942,-33.35,146.858,"(-33.35, 146.85833)",Australia,Oceania
303,Forksville,10123,Valid,L6,6.07,Fell,1924,36.7833,-78.0833,"(36.78333, -78.08333)",United States,North America
308,Fuhe,52412,Valid,L5,23.0,Fell,1945,31.4756,113.567,"(31.47556, 113.56694)",China,Asia
312,Fuyang,10840,Valid,Stone-uncl,2.5,Fell,1977,32.9,115.9,"(32.9, 115.9)",China,Asia
316,Galkiv,10850,Valid,H4,5.0,Fell,1995,51.6833,30.7833,"(51.68333, 30.78333)",Ukraine,Europe
321,Gashua,44882,Valid,L6,4.16,Fell,1984,12.85,11.0333,"(12.85, 11.03333)",Nigeria,Africa
324,Gifu,10914,Valid,L6,14.29,Fell,1909,35.5333,136.883,"(35.53333, 136.88333)",Japan,Asia
329,Glasatovo,10926,Valid,H4,152.0,Fell,1918,57.35,37.6167,"(57.35, 37.61667)",Russia,Europe
333,Gorlovka,10949,Valid,H3.7,3.62,Fell,1974,48.2833,38.0833,"(48.28333, 38.08333)",Ukraine,Europe
334,Granes,10956,Valid,L6,9.0,Fell,1964,42.9,2.25,"(42.9, 2.25)",France,Europe
342,Gualeguaychú,11432,Valid,H6,22.0,Fell,1932,-33.0,-58.6167,"(-33.0, -58.61667)",Argentina,South America
343,Guangmingshan,11435,Valid,H5,2.91,Fell,1996,39.8042,122.764,"(39.80417, 122.76389)",China,Asia
350,Gujargaon,11448,Valid,H5,2.45,Fell,1982,22.9833,76.05,"(22.98333, 76.05)",India,Asia
351,Gujba,11449,Valid,CBa,100.0,Fell,1984,11.4917,11.6583,"(11.49167, 11.65833)",Nigeria,Africa
352,Gumoschnik,11450,Valid,H5,5.7,Fell,1904,42.9,24.7,"(42.9, 24.7)",Bulgaria,Europe
354,Gursum,11465,Valid,H4/5,34.65,Fell,1981,9.36667,42.4167,"(9.36667, 42.41667)",Ethiopia,Africa
358,Hainaut,11472,Valid,H3-6,9.0,Fell,1934,50.3167,3.73333,"(50.31667, 3.73333)",France,Europe
360,Hamlet,11485,Valid,LL4,3.71,Fell,1959,41.3833,-86.6,"(41.38333, -86.6)",United States,North America
363,Harleton,11830,Valid,L6,8.36,Fell,1961,32.675,-94.5117,"(32.675, -94.51167)",United States,North America
369,Hedeskoga,11869,Valid,H5,3.5,Fell,1922,55.4667,13.7833,"(55.46667, 13.78333)",Sweden,Europe
370,Hedjaz,11870,Valid,L3.7-6,6.1,Fell,1910,27.3333,35.6667,"(27.33333, 35.66667)",Saudi Arabia,Asia
378,Holbrook,11894,Valid,L/LL6,220.0,Fell,1912,34.9,-110.183,"(34.9, -110.18333)",United States,North America
387,Hvittis,11989,Valid,EL6,14.0,Fell,1901,61.1833,22.6833,"(61.18333, 22.68333)",Finland,Europe
389,Ibitira,11993,Valid,Eucrite-mmict,2.5,Fell,1957,-20.0,-45.0,"(-20.0, -45.0)",Brazil,South America
391,Ichkala,11995,Valid,H6,3.97,Fell,1936,58.2,82.9333,"(58.2, 82.93333)",Russia,Europe
392,Idutywa,12000,Valid,H5,3.46,Fell,1956,-32.1,28.3333,"(-32.1, 28.33333)",South Africa,Africa
394,Ijopega,12004,Valid,H6,7.33,Fell,1975,-6.03333,145.367,"(-6.03333, 145.36667)",Papua New Guinea,Oceania
397,Inner Mongolia,12037,Valid,L6,3.0,Fell,1963,41.0,112.0,"(41.0, 112.0)",China,Asia
398,Innisfree,12039,Valid,L5,4.58,Fell,1977,53.415,-111.338,"(53.415, -111.3375)",Canada,North America
399,Ipiranga,12043,Valid,H6,7.0,Fell,1972,-25.5,-54.5,"(-25.5, -54.5)",Brazil,South America
401,Isthilart,12053,Valid,H5,3.05,Fell,1928,-31.1833,-57.95,"(-31.18333, -57.95)",Argentina,South America
403,Itqiy,12058,Valid,EH7-an,4.72,Fell,1990,26.5908,-12.9522,"(26.59083, -12.95217)",Morocco,Africa
405,Jackalsfontein,12065,Valid,L6,48.0,Fell,1903,-32.5,21.9,"(-32.5, 21.9)",South Africa,Africa
409,Jartai,12074,Valid,L6,20.5,Fell,1979,39.7,105.8,"(39.7, 105.8)",China,Asia
411,Jesenice,51589,Valid,L6,3.67,Fell,2009,46.4214,14.0522,"(46.42137, 14.05217)",Slovenia,Europe
415,Jilin,12171,Valid,H5,4000.0,Fell,1976,44.05,126.167,"(44.05, 126.16667)",China,Asia
418,Johnstown,12198,Valid,Diogenite,40.3,Fell,1924,40.35,-104.9,"(40.35, -104.9)",United States,North America
421,Juancheng,12203,Valid,H5,100.0,Fell,1997,35.5,115.417,"(35.5, 115.41667)",China,Asia
423,Jumapalo,12209,Valid,L6,32.49,Fell,1984,-7.71667,111.2,"(-7.71667, 111.2)",Indonesia,Asia
425,Juromenha,12213,Valid,"Iron, IIIAB",25.25,Fell,1968,38.7403,-7.27,"(38.74028, -7.27)",Portugal,Europe
428,Kabo,12220,Valid,H4,13.4,Fell,1971,11.85,8.21667,"(11.85, 8.21667)",Nigeria,Africa
432,Kaidun,12228,Valid,CR2,2.0,Fell,1980,15.0,48.3,"(15.0, 48.3)",Yemen,Asia
433,Kainsaz,12229,Valid,CO3.2,200.0,Fell,1937,55.4333,53.25,"(55.43333, 53.25)",Russia,Europe
438,Kamalpur,12238,Valid,L6,2.77,Fell,1942,26.0333,81.4667,"(26.03333, 81.46667)",India,Asia
444,Kapoeta,12251,Valid,Howardite,11.36,Fell,1942,4.7,33.6333,"(4.7, 33.63333)",South Sudan,Africa
446,Kaptal-Aryk,12253,Valid,L6,3.5,Fell,1937,42.45,73.3667,"(42.45, 73.36667)",Kazakhstan,Asia
448,Karatu,12258,Valid,LL6,2.22,Fell,1963,-3.5,35.5833,"(-3.5, 35.58333)",Tanzania,Africa
450,Karkh,12262,Valid,L6,22.0,Fell,1905,27.8,67.1667,"(27.8, 67.16667)",Pakistan,Asia
451,Karloowala,12263,Valid,L6,2.95,Fell,1955,31.5833,71.6,"(31.58333, 71.6)",Pakistan,Asia
452,Karoonda,12264,Valid,CK4,41.73,Fell,1930,-35.0833,139.917,"(-35.08333, 139.91667)",Australia,Oceania
454,Kasauli,30740,Valid,H4,16.82,Fell,2003,29.5833,77.5833,"(29.58333, 77.58333)",India,Asia
456,Kavarpura,47351,Valid,"Iron, IIE-an",6.8,Fell,2006,25.1433,75.8133,"(25.14333, 75.81333)",India,Asia
457,Kayakent,12268,Valid,"Iron, IIIAB",85.0,Fell,1961,39.2633,31.78,"(39.26333, 31.78)",Turkey,Asia
458,Kediri,12270,Valid,L4,3.3,Fell,1940,-7.75,112.017,"(-7.75, 112.01667)",Indonesia,Asia
459,Kemer,53654,Valid,L4,5.76,Fell,2008,36.5419,29.4182,"(36.54194, 29.41822)",Turkey,Asia
460,Kendleton,12275,Valid,L4,6.94,Fell,1939,29.45,-96.0,"(29.45, -96.0)",United States,North America
461,Kendrapara,12276,Valid,H4-5,6.67,Fell,2003,20.4625,86.7028,"(20.4625, 86.70278)",India,Asia
466,Khanpur,12289,Valid,LL5,3.7,Fell,1932,25.55,83.1167,"(25.55, 83.11667)",India,Asia
470,Khmelevka,12297,Valid,L5,6.11,Fell,1929,56.75,75.3333,"(56.75, 75.33333)",Russia,Europe
471,Khohar,12298,Valid,L3.6,9.7,Fell,1910,25.1,81.5333,"(25.1, 81.53333)",India,Asia
472,Khor Temiki,12299,Valid,Aubrite,3.2,Fell,1932,16.0,36.0,"(16.0, 36.0)",Sudan,Africa
473,Kidairat,12300,Valid,H6,100.0,Fell,1983,14.0,28.0,"(14.0, 28.0)",Sudan,Africa
478,Kilabo,12307,Valid,LL6,19.0,Fell,2002,12.7667,9.8,"(12.76667, 9.8)",Nigeria,Africa
488,Kokubunji,12342,Valid,L6,11.51,Fell,1986,34.3,133.95,"(34.3, 133.95)",Japan,Asia
491,Košice,53810,Valid,H5,4.3,Fell,2010,48.7637,21.1763,"(48.76367, 21.17633)",Slovakia,Europe
494,Krasnyi Klyuch,12357,Valid,H5,4.0,Fell,1946,54.3333,56.0833,"(54.33333, 56.08333)",Russia,Europe
496,Krymka,12364,Valid,LL3.2,50.0,Fell,1946,47.8333,30.7667,"(47.83333, 30.76667)",Ukraine,Europe
497,Kukschin,12368,Valid,L6,2.25,Fell,1938,51.15,31.7,"(51.15, 31.7)",Ukraine,Europe
500,Kulp,12373,Valid,H6,3.72,Fell,1906,41.1167,45.0,"(41.11667, 45.0)",Armenia,Asia
501,Kunashak,12377,Valid,L6,200.0,Fell,1949,55.7833,61.3667,"(55.78333, 61.36667)",Russia,Europe
502,Kunya-Urgench,12379,Valid,H5,1100.0,Fell,1998,42.25,59.2,"(42.25, 59.2)",Turkmenistan,Asia
503,Kushiike,12381,Valid,OC,4.46,Fell,1920,37.05,138.383,"(37.05, 138.38333)",Japan,Asia
506,Kuttippuram,12384,Valid,L6,45.0,Fell,1914,10.8333,76.0333,"(10.83333, 76.03333)",India,Asia
507,Kuznetzovo,12385,Valid,L6,4.05,Fell,1932,55.2,75.3333,"(55.2, 75.33333)",Russia,Europe
511,La Colina,12395,Valid,H5,2.0,Fell,1924,-37.3333,-61.5333,"(-37.33333, -61.53333)",Argentina,South America
512,La Criolla,12396,Valid,L6,45.0,Fell,1985,-31.2333,-58.1667,"(-31.23333, -58.16667)",Argentina,South America
520,Långhalsen,12461,Valid,L6,2.3,Fell,1947,58.85,16.7333,"(58.85, 16.73333)",Sweden,Europe
522,Lanzenkirchen,12465,Valid,L4,7.0,Fell,1925,47.75,16.2333,"(47.75, 16.23333)",Austria,Europe
523,Laochenzhen,12466,Valid,H5,14.25,Fell,1987,33.1333,115.167,"(33.13333, 115.16667)",China,Asia
528,Leedey,12755,Valid,L6,51.5,Fell,1943,35.8833,-99.3333,"(35.88333, -99.33333)",United States,North America
535,Lichtenberg,14646,Valid,H6,4.0,Fell,1973,-26.15,26.1833,"(-26.15, 26.18333)",South Africa,Africa
536,Lillaverke,14650,Valid,H5,6.86,Fell,1930,56.65,15.8667,"(56.65, 15.86667)",Sweden,Europe
544,Lohawat,14678,Valid,Howardite,40.0,Fell,1994,26.9656,72.6267,"(26.96556, 72.62667)",India,Asia
547,Lost City,14711,Valid,H5,17.0,Fell,1970,36.0083,-95.15,"(36.00833, -95.15)",United States,North America
549,Łowicz,14718,Valid,Mesosiderite-A3,59.0,Fell,1935,52.0,19.9167,"(52.0, 19.91667)",Poland,Europe
550,Lua,14721,Valid,L5,9.24,Fell,1926,24.95,75.15,"(24.95, 75.15)",India,Asia
553,Lunan,14754,Valid,H6,2.52,Fell,1980,24.8,103.3,"(24.8, 103.3)",China,Asia
560,Machinga,15371,Valid,L6,93.2,Fell,1981,-15.2122,35.2422,"(-15.21222, 35.24222)",Malawi,Africa
561,Macibini,15372,Valid,Eucrite-pmict,2.0,Fell,1936,-28.8333,31.95,"(-28.83333, 31.95)",South Africa,Africa
568,Mahadevpur,47361,Valid,H4/5,70.5,Fell,2007,27.6667,95.7833,"(27.66667, 95.78333)",India,Asia
569,Maigatari-Danduma,30751,Valid,H5/6,4.63,Fell,2004,12.8333,9.38333,"(12.83333, 9.38333)",Niger,Africa
571,Malakal,15394,Valid,L5,2.0,Fell,1970,9.5,31.75,"(9.5, 31.75)",South Sudan,Africa
578,Mangwendi,15405,Valid,LL6,22.3,Fell,1934,-17.65,31.6,"(-17.65, 31.6)",Zimbabwe,Africa
579,Manych,15409,Valid,LL3.4,3.56,Fell,1951,45.8167,44.6333,"(45.81667, 44.63333)",Russia,Europe
580,Mardan,15414,Valid,H5,4.5,Fell,1948,34.2333,72.0833,"(34.23333, 72.08333)",Pakistan,Asia
583,Maridi,15421,Valid,H6,3.2,Fell,1941,4.66667,29.25,"(4.66667, 29.25)",South Sudan,Africa
584,Marilia,15422,Valid,H4,2.5,Fell,1971,-22.25,-49.9333,"(-22.25, -49.93333)",Brazil,South America
586,Marjalahti,15426,Valid,"Pallasite, PMG",45.0,Fell,1902,61.5,30.5,"(61.5, 30.5)",Russia,Europe
588,Maromandia,15430,Valid,L6,6.0,Fell,2002,-14.2,48.1,"(-14.2, 48.1)",Madagascar,Africa
595,Mayo Belwa,15451,Valid,Aubrite,4.85,Fell,1974,8.96667,12.0833,"(8.96667, 12.08333)",Nigeria,Africa
597,Maziba,15454,Valid,L6,4.97,Fell,1942,-1.21667,30.0,"(-1.21667, 30.0)",Uganda,Africa
598,Mbale,15455,Valid,L5/6,150.0,Fell,1992,1.06667,34.1667,"(1.06667, 34.16667)",Uganda,Africa
601,Meester-Cornelis,15470,Valid,H5,24.75,Fell,1915,-6.23333,106.883,"(-6.23333, 106.88333)",Indonesia,Asia
605,Meru,15491,Valid,LL6,6.0,Fell,1945,0.0,37.6667,"(0.0, 37.66667)",Kenya,Africa
606,Merua,15492,Valid,H5,71.4,Fell,1920,25.4833,81.9833,"(25.48333, 81.98333)",India,Asia
607,Messina,15495,Valid,L5,2.4,Fell,1955,38.1833,15.5667,"(38.18333, 15.56667)",Italy,Europe
614,Mifflin,52090,Valid,L5,3.58,Fell,2010,42.9075,-90.3656,"(42.9075, -90.36556)",United States,North America
616,Mihonoseki,16635,Valid,L6,6.38,Fell,1992,35.5683,133.22,"(35.56833, 133.22)",Japan,Asia
619,Millbillillie,16643,Valid,Eucrite-mmict,330.0,Fell,1960,-26.45,120.367,"(-26.45, 120.36667)",Australia,Oceania
620,Miller (Arkansas),16645,Valid,H5,16.7,Fell,1930,35.4,-92.05,"(35.4, -92.05)",United States,North America
623,Min-Fan-Zhun,16697,Valid,LL6,5.5,Fell,1952,32.3333,120.667,"(32.33333, 120.66667)",China,Asia
625,Mirzapur,16701,Valid,L5,8.51,Fell,1910,25.6833,83.25,"(25.68333, 83.25)",India,Asia
629,Modoc (1905),16711,Valid,L6,35.0,Fell,1905,38.5,-101.1,"(38.5, -101.1)",United States,North America
630,Mokoia,16713,Valid,CV3,4.5,Fell,1908,-39.6333,174.4,"(-39.63333, 174.4)",New Zealand,Oceania
633,Monahans (1998),16719,Valid,H5,2.59,Fell,1998,31.6083,-102.858,"(31.60833, -102.85833)",United States,North America
635,Monte das Fortes,16725,Valid,L5,4.88,Fell,1950,38.0167,-8.25,"(38.01667, -8.25)",Portugal,Europe
637,Montferré,16727,Valid,H5,149.0,Fell,1923,43.3906,1.9625,"(43.39056, 1.9625)",France,Europe
642,Moorleah,16738,Valid,L6,8.89,Fell,1930,-40.975,145.6,"(-40.975, 145.6)",Australia,Oceania
646,Moss,36592,Valid,CO3.6,3.76,Fell,2006,59.4333,10.7,"(59.43333, 10.7)",Norway,Europe
649,Mount Browne,16766,Valid,H6,11.3,Fell,1902,-29.8,141.7,"(-29.8, 141.7)",Australia,Oceania
650,Mount Tazerzait,16804,Valid,L5,110.0,Fell,1991,18.7,4.8,"(18.7, 4.8)",Niger,Africa
655,Muraid,16874,Valid,L6,4.7,Fell,1924,24.5,90.2167,"(24.5, 90.21667)",Bangladesh,Asia
656,Murchison,16875,Valid,CM2,100.0,Fell,1969,-36.6167,145.2,"(-36.61667, 145.2)",Australia,Oceania
657,Murray,16882,Valid,CM2,12.6,Fell,1950,36.6,-88.1,"(36.6, -88.1)",United States,North America
660,Nadiabondi,16889,Valid,H5,8.16,Fell,1956,12.0,1.0,"(12.0, 1.0)",Burkina Faso,Africa
664,Nakhla,16898,Valid,Martian (nakhlite),10.0,Fell,1911,31.3167,30.35,"(31.31667, 30.35)",Egypt,Africa
665,Nakhon Pathom,16899,Valid,L6,23.2,Fell,1923,13.7333,100.083,"(13.73333, 100.08333)",Thailand,Asia
667,Nan Yang Pao,16903,Valid,L6,52.9,Fell,1917,35.6667,103.5,"(35.66667, 103.5)",China,Asia
670,Naoki,16908,Valid,H6,17.0,Fell,1928,19.25,77.0,"(19.25, 77.0)",India,Asia
671,Naragh,16909,Valid,H6,2.7,Fell,1974,33.75,51.5,"(33.75, 51.5)",Iran,Asia
678,Nejo,16941,Valid,L6,2.45,Fell,1970,9.5,35.3333,"(9.5, 35.33333)",Ethiopia,Africa
680,Neuschwanstein,16950,Valid,EL6,6.19,Fell,2002,47.525,10.8083,"(47.525, 10.80833)",Germany,Europe
